"species_list"	"habitat_code"
"1"	"Adenomus dasi"	"1.9 5.1"
"2"	"Adenomus kandianus"	"1.9 5.1"
"3"	"Afghanodon mustersi"	"5.1 5.9"
"4"	"Agalychnis lemur"	"1.6 1.9 5.1 5.7 5.8"
"5"	"Agalychnis moreletii"	"1.6 1.9 5.7 5.8"
"6"	"Alexteroon jynx"	"1.6 5.1"
"7"	"Allobates juanii"	"1.6 5.1"
"8"	"Alsodes cantillanensis"	"1.6 5.1"
"9"	"Alsodes pehuenche"	"5.1 5.11 5.4 5.8"
"10"	"Alsodes vanzolinii"	"1.4 5.1"
"11"	"Altiphrynoides osgoodi"	"1.9 3.7 5.8"
"12"	"Ambystoma amblycephalum"	"15.2 1.9 4.7 5.7"
"13"	"Ambystoma andersoni"	"15.9 5.1 5.5"
"14"	"Ambystoma bombypellum"	"1.9 4.7 5.1 5.7 5.8"
"15"	"Ambystoma dumerilii"	"5.6"
"16"	"Ambystoma granulosum"	"15.2 4.7 5.7 5.8"
"17"	"Ambystoma leorae"	"1.9 5.1"
"18"	"Ambystoma mexicanum"	"15.1 15.9 5.5"
"19"	"Ambystoma taylori"	"5.14"
"20"	"Ameerega ingeri"	"1.6"
"21"	"Ameerega planipaleae"	"1.9 5.1"
"22"	"Andinobates abditus"	"1.9"
"23"	"Andrias davidianus"	"1.4 1.6 1.9 5.1"
"24"	"Anodonthyla theoi"	"1.6 5.8"
"25"	"Anodonthyla vallani"	"1.9 5.8"
"26"	"Aquiloeurycea praecellens"	"1.6"
"27"	"Aquiloeurycea quetzalanensis"	"14.3 1.9"
"28"	"Aromobates leopardalis"	"1.9 3.7 4.7 5.1"
"29"	"Aromobates meridensis"	"1.9 5.1"
"30"	"Aromobates nocturnus"	"1.9 5.1"
"31"	"Arthroleptella rugosa"	"3.8 5.4"
"32"	"Arthroleptella subvoce"	"3.8 5.4"
"33"	"Arthroleptides dutoiti"	"1.9 5.1"
"34"	"Arthroleptis kidogo"	"1.6"
"35"	"Arthroleptis kutogundua"	"1.9 4.7"
"36"	"Arthroleptis nikeae"	"1.9"
"37"	"Arthroleptis troglodytes"	"4.7 7.1"
"38"	"Astylosternus nganhanus"	"14.6 1.9 4.7 5.1"
"39"	"Atelopus andinus"	"1.6 1.9 5.1"
"40"	"Atelopus angelito"	"1.9 3.7 5.1"
"41"	"Atelopus ardila"	"3.7 4.7 5.1"
"42"	"Atelopus arsyecue"	"1.9 4.7 5.1"
"43"	"Atelopus arthuri"	"1.9 4.7 5.1"
"44"	"Atelopus balios"	"1.6 5.1"
"45"	"Atelopus bomolochos"	"14.2 1.9 4.7 5.1"
"46"	"Atelopus boulengeri"	"1.6 1.9 5.1"
"47"	"Atelopus carauta"	"1.9 5.1"
"48"	"Atelopus carbonerensis"	"1.9 5.1 5.2"
"49"	"Atelopus carrikeri"	"1.9 4.7 5.1"
"50"	"Atelopus chiriquiensis"	"1.9 5.1"
"51"	"Atelopus chirripoensis"	"3.7 4.7 5.11"
"52"	"Atelopus chocoensis"	"1.9"
"53"	"Atelopus chrysocorallus"	"1.9 5.1 5.2"
"54"	"Atelopus coynei"	"1.6 1.9 5.1"
"55"	"Atelopus cruciger"	"1.6 1.9 5.1"
"56"	"Atelopus ebenoides"	"1.9 4.7 5.1"
"57"	"Atelopus elegans"	"1.6 1.9 5.1"
"58"	"Atelopus epikeisthos"	"1.9"
"59"	"Atelopus erythropus"	"1.9 5.1"
"60"	"Atelopus eusebianus"	"4.7 5.1"
"61"	"Atelopus eusebiodiazi"	"1.9 5.1 5.2"
"62"	"Atelopus exiguus"	"14.2 4.7 5.1 5.5"
"63"	"Atelopus famelicus"	"1.9 5.1"
"64"	"Atelopus farci"	"1.9 5.1"
"65"	"Atelopus galactogaster"	"1.9"
"66"	"Atelopus gigas"	"1.9 5.1"
"67"	"Atelopus glyphus"	"1.9 5.1"
"68"	"Atelopus guanujo"	"1.9 5.1"
"69"	"Atelopus guitarraensis"	"4.7 5.1"
"70"	"Atelopus halihelos"	"1.9 5.1"
"71"	"Atelopus lozanoi"	"4.7 5.1"
"72"	"Atelopus lynchi"	"1.6 1.9 5.1"
"73"	"Atelopus mandingues"	"1.9 4.7 5.1"
"74"	"Atelopus mindoensis"	"1.6 1.9 5.1"
"75"	"Atelopus minutulus"	"1.9 5.1"
"76"	"Atelopus monohernandezii"	"1.9 5.1"
"77"	"Atelopus mucubajiensis"	"1.9 4.7 5.1 5.2"
"78"	"Atelopus muisca"	"1.9 4.7 5.1"
"79"	"Atelopus nanay"	"4.7 5.1 5.7 5.9"
"80"	"Atelopus nepiozomus"	"4.7 5.1"
