"species_list"	"threat_count"
"1"	"Adenomus dasi"	"3"
"2"	"Adenomus kandianus"	"9"
"3"	"Afghanodon mustersi"	"1"
"4"	"Agalychnis lemur"	"6"
"5"	"Agalychnis moreletii"	"3"
"6"	"Alexteroon jynx"	"3"
"7"	"Allobates juanii"	"2"
"8"	"Alsodes cantillanensis"	"5"
"9"	"Alsodes pehuenche"	"8"
"10"	"Alsodes vanzolinii"	"2"
"11"	"Altiphrynoides osgoodi"	"4"
"12"	"Ambystoma amblycephalum"	"5"
"13"	"Ambystoma andersoni"	"4"
"14"	"Ambystoma bombypellum"	"5"
"15"	"Ambystoma dumerilii"	"8"
"16"	"Ambystoma granulosum"	"8"
"17"	"Ambystoma leorae"	"9"
"18"	"Ambystoma mexicanum"	"9"
"19"	"Ambystoma taylori"	"3"
"20"	"Ameerega ingeri"	"2"
"21"	"Ameerega planipaleae"	"4"
"22"	"Andinobates abditus"	"8"
"23"	"Andrias davidianus"	"6"
"24"	"Anodonthyla theoi"	"7"
"25"	"Anodonthyla vallani"	"3"
"26"	"Aquiloeurycea praecellens"	"2"
"27"	"Aquiloeurycea quetzalanensis"	"3"
"28"	"Aromobates leopardalis"	"2"
"29"	"Aromobates meridensis"	"4"
"30"	"Aromobates nocturnus"	"5"
"31"	"Arthroleptella rugosa"	"2"
"32"	"Arthroleptella subvoce"	"3"
"33"	"Arthroleptides dutoiti"	"3"
"34"	"Arthroleptis kidogo"	"4"
"35"	"Arthroleptis kutogundua"	"4"
"36"	"Arthroleptis nikeae"	"1"
"37"	"Arthroleptis troglodytes"	"2"
"38"	"Astylosternus nganhanus"	"3"
"39"	"Atelopus andinus"	"1"
"40"	"Atelopus angelito"	"2"
"41"	"Atelopus ardila"	"3"
"42"	"Atelopus arsyecue"	"4"
"43"	"Atelopus arthuri"	"6"
"44"	"Atelopus balios"	"6"
"45"	"Atelopus bomolochos"	"8"
"46"	"Atelopus boulengeri"	"7"
"47"	"Atelopus carauta"	"2"
"48"	"Atelopus carbonerensis"	"7"
"49"	"Atelopus carrikeri"	"5"
"50"	"Atelopus chiriquiensis"	"8"
"51"	"Atelopus chirripoensis"	"1"
"52"	"Atelopus chocoensis"	"4"
"53"	"Atelopus chrysocorallus"	"6"
"54"	"Atelopus coynei"	"7"
"55"	"Atelopus cruciger"	"8"
"56"	"Atelopus ebenoides"	"5"
"57"	"Atelopus elegans"	"8"
"58"	"Atelopus epikeisthos"	"3"
"59"	"Atelopus erythropus"	"1"
"60"	"Atelopus eusebianus"	"6"
"61"	"Atelopus eusebiodiazi"	"2"
"62"	"Atelopus exiguus"	"8"
"63"	"Atelopus famelicus"	"3"
"64"	"Atelopus farci"	"7"
"65"	"Atelopus galactogaster"	"1"
"66"	"Atelopus gigas"	"2"
"67"	"Atelopus glyphus"	"6"
"68"	"Atelopus guanujo"	"10"
"69"	"Atelopus guitarraensis"	"4"
"70"	"Atelopus halihelos"	"9"
"71"	"Atelopus lozanoi"	"3"
"72"	"Atelopus lynchi"	"7"
"73"	"Atelopus mandingues"	"1"
"74"	"Atelopus mindoensis"	"4"
"75"	"Atelopus minutulus"	"3"
"76"	"Atelopus monohernandezii"	"1"
"77"	"Atelopus mucubajiensis"	"9"
"78"	"Atelopus muisca"	"4"
"79"	"Atelopus nanay"	"8"
"80"	"Atelopus nepiozomus"	"5"
"81"	"Atelopus nicefori"	"2"
"82"	"Atelopus onorei"	"2"
"83"	"Atelopus orcesi"	"6"
"84"	"Atelopus oxyrhynchus"	"7"
"85"	"Atelopus pachydermus"	"4"
"86"	"Atelopus pastuso"	"2"
"87"	"Atelopus patazensis"	"4"
"88"	"Atelopus pedimarmoratus"	"3"
"89"	"Atelopus peruensis"	"2"
"90"	"Atelopus petersi"	"2"
"91"	"Atelopus petriruizi"	"3"
"92"	"Atelopus pictiventris"	"1"
"93"	"Atelopus pinangoi"	"10"
"94"	"Atelopus planispina"	"8"
"95"	"Atelopus podocarpus"	"2"
"96"	"Atelopus pulcher"	"4"
"97"	"Atelopus pyrodactylus"	"2"
"98"	"Atelopus quimbaya"	"1"
"99"	"Atelopus reticulatus"	"2"
"100"	"Atelopus seminiferus"	"1"
"101"	"Atelopus senex"	"3"
"102"	"Atelopus sernai"	"4"
"103"	"Atelopus simulatus"	"3"
"104"	"Atelopus sonsonensis"	"3"
"105"	"Atelopus sorianoi"	"3"
"106"	"Atelopus subornatus"	"3"
"107"	"Atelopus tamaense"	"2"
"108"	"Atelopus varius"	"11"
"109"	"Atelopus walkeri"	"4"
"110"	"Atelopus zeteki"	"12"
"111"	"Atopophrynus syntomopus"	"2"
"112"	"Balebreviceps hillmani"	"5"
"113"	"Bokermannohyla izecksohni"	"4"
"114"	"Bolitoglossa capitana"	"3"
"115"	"Bolitoglossa carri"	"4"
"116"	"Bolitoglossa decora"	"8"
"117"	"Bolitoglossa diaphora"	"9"
"118"	"Bolitoglossa longissima"	"6"
"119"	"Bolitoglossa oresbia"	"2"
"120"	"Bolitoglossa synoria"	"8"
"121"	"Bolitoglossa zapoteca"	"3"
"122"	"Boophis ankarafensis"	"2"
"123"	"Boophis baetkei"	"4"
"124"	"Boophis liami"	"5"
"125"	"Boophis tsilomaro"	"2"
"126"	"Boophis williamsi"	"6"
"127"	"Bradytriton silus"	"3"
"128"	"Bromeliohyla dendroscarta"	"4"
"129"	"Callulina dawida"	"1"
"130"	"Callulina hanseni"	"2"
"131"	"Callulina kanga"	"1"
"132"	"Callulina laphami"	"3"
"133"	"Callulina meteora"	"2"
"134"	"Callulina shengena"	"1"
"135"	"Callulina stanleyi"	"3"
"136"	"Calotriton arnoldi"	"4"
"137"	"Cardioglossa alsco"	"3"
"138"	"Cardioglossa manengouba"	"4"
"139"	"Cardioglossa trifasciata"	"8"
"140"	"Centrolene ballux"	"9"
"141"	"Centrolene gemmatum"	"5"
