"species_list"	"family_list"
"1"	"Adenomus dasi"	"BUFONIDAE"
"2"	"Adenomus kandianus"	"BUFONIDAE"
"3"	"Afghanodon mustersi"	"HYNOBIIDAE"
"4"	"Agalychnis lemur"	"PHYLLOMEDUSIDAE"
"5"	"Agalychnis moreletii"	"PHYLLOMEDUSIDAE"
"6"	"Alexteroon jynx"	"HYPEROLIIDAE"
"7"	"Allobates juanii"	"AROMOBATIDAE"
"8"	"Alsodes cantillanensis"	"ALSODIDAE"
"9"	"Alsodes pehuenche"	"ALSODIDAE"
"10"	"Alsodes vanzolinii"	"ALSODIDAE"
"11"	"Altiphrynoides osgoodi"	"BUFONIDAE"
"12"	"Ambystoma amblycephalum"	"AMBYSTOMATIDAE"
"13"	"Ambystoma andersoni"	"AMBYSTOMATIDAE"
"14"	"Ambystoma bombypellum"	"AMBYSTOMATIDAE"
"15"	"Ambystoma dumerilii"	"AMBYSTOMATIDAE"
"16"	"Ambystoma granulosum"	"AMBYSTOMATIDAE"
"17"	"Ambystoma leorae"	"AMBYSTOMATIDAE"
"18"	"Ambystoma mexicanum"	"AMBYSTOMATIDAE"
"19"	"Ambystoma taylori"	"AMBYSTOMATIDAE"
"20"	"Ameerega ingeri"	"DENDROBATIDAE"
"21"	"Ameerega planipaleae"	"DENDROBATIDAE"
"22"	"Andinobates abditus"	"DENDROBATIDAE"
"23"	"Andrias davidianus"	"CRYPTOBRANCHIDAE"
"24"	"Anodonthyla theoi"	"MICROHYLIDAE"
"25"	"Anodonthyla vallani"	"MICROHYLIDAE"
"26"	"Aquiloeurycea praecellens"	"PLETHODONTIDAE"
"27"	"Aquiloeurycea quetzalanensis"	"PLETHODONTIDAE"
"28"	"Aromobates leopardalis"	"AROMOBATIDAE"
"29"	"Aromobates meridensis"	"AROMOBATIDAE"
"30"	"Aromobates nocturnus"	"AROMOBATIDAE"
"31"	"Arthroleptella rugosa"	"PYXICEPHALIDAE"
"32"	"Arthroleptella subvoce"	"PYXICEPHALIDAE"
"33"	"Arthroleptides dutoiti"	"PETROPEDETIDAE"
"34"	"Arthroleptis kidogo"	"ARTHROLEPTIDAE"
"35"	"Arthroleptis kutogundua"	"ARTHROLEPTIDAE"
"36"	"Arthroleptis nikeae"	"ARTHROLEPTIDAE"
"37"	"Arthroleptis troglodytes"	"ARTHROLEPTIDAE"
"38"	"Astylosternus nganhanus"	"ARTHROLEPTIDAE"
"39"	"Atelopus andinus"	"BUFONIDAE"
"40"	"Atelopus angelito"	"BUFONIDAE"
"41"	"Atelopus ardila"	"BUFONIDAE"
"42"	"Atelopus arsyecue"	"BUFONIDAE"
"43"	"Atelopus arthuri"	"BUFONIDAE"
"44"	"Atelopus balios"	"BUFONIDAE"
"45"	"Atelopus bomolochos"	"BUFONIDAE"
"46"	"Atelopus boulengeri"	"BUFONIDAE"
"47"	"Atelopus carauta"	"BUFONIDAE"
"48"	"Atelopus carbonerensis"	"BUFONIDAE"
