"species_list"	"family_list"
"1"	"Adelophryne maranguapensis"	"ELEUTHERODACTYLIDAE"
"2"	"Adenomus kelaartii"	"BUFONIDAE"
"3"	"Afrixalus clarkei"	"HYPEROLIIDAE"
"4"	"Afrixalus dorsimaculatus"	"HYPEROLIIDAE"
"5"	"Afrixalus knysnae"	"HYPEROLIIDAE"
"6"	"Afrixalus lacteus"	"HYPEROLIIDAE"
"7"	"Agalychnis annae"	"PHYLLOMEDUSIDAE"
"8"	"Aglyptodactylus australis"	"MANTELLIDAE"
"9"	"Allobates kingsburyi"	"AROMOBATIDAE"
"10"	"Allobates mandelorum"	"AROMOBATIDAE"
"11"	"Allobates ranoides"	"AROMOBATIDAE"
"12"	"Altiphrynoides malcolmi"	"BUFONIDAE"
"13"	"Ambystoma altamirani"	"AMBYSTOMATIDAE"
"14"	"Ambystoma flavipiperatum"	"AMBYSTOMATIDAE"
"15"	"Ambystoma lermaense"	"AMBYSTOMATIDAE"
"16"	"Ambystoma ordinarium"	"AMBYSTOMATIDAE"
"17"	"Ameerega silverstonei"	"DENDROBATIDAE"
"18"	"Amietia inyangae"	"PYXICEPHALIDAE"
"19"	"Amietia johnstoni"	"PYXICEPHALIDAE"
"20"	"Amnirana asperrima"	"RANIDAE"
"21"	"Amnirana occidentalis"	"RANIDAE"
"22"	"Amolops hainanensis"	"RANIDAE"
"23"	"Amolops hongkongensis"	"RANIDAE"
"24"	"Anaxyrus californicus"	"BUFONIDAE"
"25"	"Anaxyrus canorus"	"BUFONIDAE"
"26"	"Anaxyrus houstonensis"	"BUFONIDAE"
"27"	"Anaxyrus nelsoni"	"BUFONIDAE"
"28"	"Andinobates bombetes"	"DENDROBATIDAE"
"29"	"Andinobates virolinensis"	"DENDROBATIDAE"
"30"	"Anhydrophryne ngongoniensis"	"PYXICEPHALIDAE"
"31"	"Anodonthyla emilei"	"MICROHYLIDAE"
"32"	"Anodonthyla hutchisoni"	"MICROHYLIDAE"
"33"	"Anodonthyla jeanbai"	"MICROHYLIDAE"
"34"	"Anodonthyla moramora"	"MICROHYLIDAE"
"35"	"Anodonthyla nigrigularis"	"MICROHYLIDAE"
"36"	"Anodonthyla rouxae"	"MICROHYLIDAE"
"37"	"Ansonia guibei"	"BUFONIDAE"
"38"	"Ansonia latidisca"	"BUFONIDAE"
"39"	"Ansonia platysoma"	"BUFONIDAE"
"40"	"Ansonia thinthinae"	"BUFONIDAE"
"41"	"Argenteohyla siemersi"	"HYLIDAE"
"42"	"Arlequinus krebsi"	"HYPEROLIIDAE"
"43"	"Aromobates alboguttatus"	"AROMOBATIDAE"
"44"	"Aromobates duranti"	"AROMOBATIDAE"
"45"	"Aromobates haydeeae"	"AROMOBATIDAE"
"46"	"Aromobates mayorgai"	"AROMOBATIDAE"
"47"	"Aromobates molinarii"	"AROMOBATIDAE"
"48"	"Aromobates orostoma"	"AROMOBATIDAE"
"49"	"Aromobates saltuensis"	"AROMOBATIDAE"
"50"	"Aromobates serranus"	"AROMOBATIDAE"
"51"	"Arthroleptides martiensseni"	"PETROPEDETIDAE"
"52"	"Arthroleptides yakusini"	"PETROPEDETIDAE"
"53"	"Arthroleptis aureoli"	"ARTHROLEPTIDAE"
"54"	"Arthroleptis bioko"	"ARTHROLEPTIDAE"
"55"	"Arthroleptis fichika"	"ARTHROLEPTIDAE"
"56"	"Arthroleptis perreti"	"ARTHROLEPTIDAE"
"57"	"Arthroleptis tanneri"	"ARTHROLEPTIDAE"
"58"	"Arthroleptis xenodactylus"	"ARTHROLEPTIDAE"
"59"	"Astylosternus fallax"	"ARTHROLEPTIDAE"
"60"	"Astylosternus laurenti"	"ARTHROLEPTIDAE"
"61"	"Astylosternus perreti"	"ARTHROLEPTIDAE"
"62"	"Astylosternus ranoides"	"ARTHROLEPTIDAE"
"63"	"Astylosternus schioetzi"	"ARTHROLEPTIDAE"
"64"	"Atelognathus patagonicus"	"BATRACHYLIDAE"
"65"	"Atelognathus praebasalticus"	"BATRACHYLIDAE"
"66"	"Atelopus certus"	"BUFONIDAE"
"67"	"Atelopus dimorphus"	"BUFONIDAE"
"68"	"Atelopus laetissimus"	"BUFONIDAE"
"69"	"Atelopus limosus"	"BUFONIDAE"
"70"	"Atelopus longibrachius"	"BUFONIDAE"
"71"	"Atelopus mittermeieri"	"BUFONIDAE"
"72"	"Atelopus nahumae"	"BUFONIDAE"
"73"	"Atelopus oxapampae"	"BUFONIDAE"
"74"	"Babina holsti"	"RANIDAE"
"75"	"Babina okinavana"	"RANIDAE"
"76"	"Babina subaspera"	"RANIDAE"
"77"	"Barbourula kalimantanensis"	"BOMBINATORIDAE"
"78"	"Batrachoseps campi"	"PLETHODONTIDAE"
"79"	"Batrachuperus londongensis"	"HYNOBIIDAE"
"80"	"Bolitoglossa alvaradoi"	"PLETHODONTIDAE"
"81"	"Bolitoglossa celaque"	"PLETHODONTIDAE"
"82"	"Bolitoglossa compacta"	"PLETHODONTIDAE"
"83"	"Bolitoglossa conanti"	"PLETHODONTIDAE"
"84"	"Bolitoglossa dunni"	"PLETHODONTIDAE"
"85"	"Bolitoglossa engelhardti"	"PLETHODONTIDAE"
"86"	"Bolitoglossa flavimembris"	"PLETHODONTIDAE"
"87"	"Bolitoglossa flaviventris"	"PLETHODONTIDAE"
"88"	"Bolitoglossa franklini"	"PLETHODONTIDAE"
"89"	"Bolitoglossa heiroreias"	"PLETHODONTIDAE"
"90"	"Bolitoglossa magnifica"	"PLETHODONTIDAE"
"91"	"Bolitoglossa marmorea"	"PLETHODONTIDAE"
"92"	"Bolitoglossa meliana"	"PLETHODONTIDAE"
"93"	"Bolitoglossa minutula"	"PLETHODONTIDAE"
"94"	"Bolitoglossa nigrescens"	"PLETHODONTIDAE"
"95"	"Bolitoglossa pandi"	"PLETHODONTIDAE"
"96"	"Bolitoglossa porrasorum"	"PLETHODONTIDAE"
"97"	"Bolitoglossa riletti"	"PLETHODONTIDAE"
"98"	"Bolitoglossa salvinii"	"PLETHODONTIDAE"
"99"	"Bolitoglossa sooyorum"	"PLETHODONTIDAE"
"100"	"Bolitoglossa subpalmata"	"PLETHODONTIDAE"
"101"	"Bolitoglossa tica"	"PLETHODONTIDAE"
"102"	"Bolitoglossa veracrucis"	"PLETHODONTIDAE"
"103"	"Bombina pachypus"	"BOMBINATORIDAE"
"104"	"Boophis andrangoloaka"	"MANTELLIDAE"
"105"	"Boophis anjanaharibeensis"	"MANTELLIDAE"
"106"	"Boophis arcanus"	"MANTELLIDAE"
"107"	"Boophis boehmei"	"MANTELLIDAE"
"108"	"Boophis boppa"	"MANTELLIDAE"
"109"	"Boophis feonnyala"	"MANTELLIDAE"
"110"	"Boophis haematopus"	"MANTELLIDAE"
"111"	"Boophis haingana"	"MANTELLIDAE"
"112"	"Boophis jaegeri"	"MANTELLIDAE"
"113"	"Boophis laurenti"	"MANTELLIDAE"
"114"	"Boophis miadana"	"MANTELLIDAE"
"115"	"Boophis narinsi"	"MANTELLIDAE"
"116"	"Boophis piperatus"	"MANTELLIDAE"
"117"	"Boophis rhodoscelis"	"MANTELLIDAE"
"118"	"Boophis sambirano"	"MANTELLIDAE"
"119"	"Boophis sandrae"	"MANTELLIDAE"
"120"	"Boophis solomaso"	"MANTELLIDAE"
"121"	"Boulengerula changamwensis"	"HERPELIDAE"
"122"	"Boulengerula niedeni"	"HERPELIDAE"
"123"	"Boulengerula taitana"	"HERPELIDAE"
"124"	"Bryophryne bustamantei"	"CRAUGASTORIDAE"
"125"	"Bryophryne cophites"	"CRAUGASTORIDAE"
"126"	"Bufoides meghalayanus"	"BUFONIDAE"
"127"	"Callimedusa baltea"	"PHYLLOMEDUSIDAE"
"128"	"Callimedusa ecuatoriana"	"PHYLLOMEDUSIDAE"
"129"	"Callulina kisiwamsitu"	"BREVICIPITIDAE"
"130"	"Callulops kopsteini"	"MICROHYLIDAE"
"131"	"Cardioglossa oreas"	"ARTHROLEPTIDAE"
"132"	"Cardioglossa pulchra"	"ARTHROLEPTIDAE"
"133"	"Cardioglossa schioetzi"	"ARTHROLEPTIDAE"
"134"	"Cardioglossa venusta"	"ARTHROLEPTIDAE"
"135"	"Centrolene azulae"	"CENTROLENIDAE"
"136"	"Centrolene lynchi"	"CENTROLENIDAE"
"137"	"Centrolene petrophilum"	"CENTROLENIDAE"
"138"	"Centrolene pipilatum"	"CENTROLENIDAE"
"139"	"Charadrahyla chaneque"	"HYLIDAE"
"140"	"Chiasmocleis lacrimae"	"MICROHYLIDAE"
