"species_list"	"threat_count"
"1"	"Alsodes nodosus"	"1"
"2"	"Eupsophus roseus"	"2"
"3"	"Eupsophus vertebralis"	"2"
"4"	"Alytes cisternasii"	"11"
"5"	"Alytes maurus"	"2"
"6"	"Discoglossus jeanneae"	"10"
"7"	"Discoglossus montalentii"	"1"
"8"	"Allobates mcdiarmidi"	"4"
"9"	"Allobates paleovarzensis"	"2"
"10"	"Mannophryne herminae"	"5"
"11"	"Mannophryne venezuelensis"	"2"
"12"	"Arthroleptis crusculum"	"5"
"13"	"Arthroleptis krokosua"	"3"
"14"	"Astylosternus laticephalus"	"2"
"15"	"Astylosternus montanus"	"3"
"16"	"Cardioglossa cyaneospila"	"2"
"17"	"Cardioglossa nigromaculata"	"3"
"18"	"Leptodactylodon ovatus"	"2"
"19"	"Leptopelis macrotis"	"5"
"20"	"Leptopelis occidentalis"	"3"
"21"	"Leptopelis uluguruensis"	"1"
"22"	"Leptopelis zebra"	"3"
"23"	"Atelognathus jeinimenensis"	"2"
"24"	"Ischnocnema epipeda"	"5"
"25"	"Ischnocnema manezinho"	"1"
"26"	"Ischnocnema oea"	"5"
"27"	"Breviceps gibbosus"	"4"
"28"	"Breviceps sylvestris"	"5"
"29"	"Anaxyrus mexicanus"	"5"
"30"	"Ansonia albomaculata"	"3"
"31"	"Ansonia hanitschi"	"3"
"32"	"Ansonia leptopus"	"3"
"33"	"Ansonia longidigita"	"3"
"34"	"Ansonia minuta"	"2"
"35"	"Ansonia spinulifer"	"4"
"36"	"Barbarophryne brongersmai"	"4"
"37"	"Bufo cryptotympanicus"	"3"
"38"	"Bufo pageoti"	"1"
"39"	"Bufo tuberculatus"	"1"
"40"	"Bufo verrucosissimus"	"4"
"41"	"Duttaphrynus parietalis"	"5"
"42"	"Incilius campbelli"	"3"
"43"	"Melanophryniscus cupreuscapularis"	"1"
"44"	"Melanophryniscus moreirae"	"2"
"45"	"Melanophryniscus sanmartini"	"1"
"46"	"Mertensophryne nyikae"	"1"
"47"	"Osornophryne bufoniformis"	"5"
"48"	"Pedostibes rugosus"	"3"
"49"	"Pelophryne signata"	"1"
"50"	"Rhaebo blombergi"	"8"
"51"	"Rhaebo hypomelas"	"5"
"52"	"Rhinella achalensis"	"3"
"53"	"Rhinella arunco"	"9"
"54"	"Rhinella festae"	"3"
"55"	"Rhinella sternosignata"	"3"
"56"	"Sclerophrys togoensis"	"3"
"57"	"Centrolene antioquiense"	"1"
"58"	"Cochranella megistra"	"0"
"59"	"Cochranella nola"	"1"
"60"	"Hyalinobatrachium aureoguttatum"	"5"
"61"	"Hyalinobatrachium pellucidum"	"5"
"62"	"Nymphargus ignotus"	"0"
"63"	"Nymphargus ocellatus"	"4"
"64"	"Rulyrana spiculata"	"2"
"65"	"Cornufer vitiensis"	"3"
"66"	"Platymantis luzonensis"	"5"
"67"	"Platymantis mimulus"	"0"
"68"	"Ceratophrys ornata"	"7"
"69"	"Lepidobatrachus asper"	"2"
"70"	"Craugastor berkenbuschii"	"3"
"71"	"Craugastor chac"	"8"
"72"	"Craugastor cyanochthebius"	"1"
