"species_list"	"habitat_code"
"1"	"Alsodes barrioi"	"1.4 5.1"
"2"	"Alsodes montanus"	"3.4 5.1"
"3"	"Alsodes tumultuosus"	"4.4 5.1"
"4"	"Eupsophus queulensis"	"1.9 5.1"
"5"	"Alytes dickhilleni"	"1.4 14.2 15.2 15.3 5.7 5.8"
"6"	"Alytes muletensis"	"14.2 15.1 5.1 5.18"
"7"	"Allobates chalcopis"	"4.6 5.1 5.2 5.8"
"8"	"Allobates humilis"	"1.6 1.9 5.8"
"9"	"Allobates olfersioides"	"1.6 3.5 5.1 5.8"
"10"	"Allobates subfolionidificans"	"1.6"
"11"	"Allobates wayuu"	"1.5 5.1 5.7"
"12"	"Anomaloglossus beebei"	"1.6 5.8"
"13"	"Anomaloglossus breweri"	"1.9 7.1"
"14"	"Anomaloglossus murisipanensis"	"1.9 5.1"
"15"	"Mannophryne olmonae"	"1.6 5.1"
"16"	"Mannophryne trinitatis"	"1.6 1.9 5.1 5.18 5.2 5.7 5.8"
"17"	"Arthroleptis francei"	"14.3 1.9 4.7"
"18"	"Arthroleptis nguruensis"	"1.9"
"19"	"Astylosternus diadematus"	"14.6 1.6 1.9 5.1"
"20"	"Astylosternus rheophilus"	"14.6 1.9 3.8 4.7 5.1"
"21"	"Cardioglossa melanogaster"	"1.9 5.1"
"22"	"Leptodactylodon albiventris"	"1.6 1.9 5.1 6"
"23"	"Leptodactylodon bicolor"	"14.6 1.9 5.1 5.2 6"
"24"	"Leptodactylodon boulengeri"	"14.6 1.9 5.1 5.4 6"
"25"	"Leptodactylodon bueanus"	"14.6 1.6 5.1"
"26"	"Leptodactylodon polyacanthus"	"14.6 1.9 5.1 5.2 5.9 6"
"27"	"Leptodactylodon ventrimarmoratus"	"1.6 1.9 5.1 5.9 6"
"28"	"Leptopelis grandiceps"	"14.6 1.6 1.9 5.1 5.7 5.8"
"29"	"Leptopelis karissimbensis"	"1.9 3.7 4.7 5.1 5.8"
"30"	"Leptopelis palmatus"	"14.5 14.6 1.6 5.1 5.7 5.8"
"31"	"Leptopelis ragazzii"	"14.4 1.9 5.1 5.2 5.7 5.8"
"32"	"Leptopelis yaldeni"	"14.4 4.7 5.1"
"33"	"Atelognathus nitoi"	"1.3 5.7 5.8"
"34"	"Atelognathus reverberii"	"3.5 4.4 5.7 5.8"
"35"	"Atelognathus salai"	"1.3 3.5 4.3 5.7"
"36"	"Atelognathus solitarius"	"3.5 5.1"
"37"	"Batrachyla fitzroya"	"1.3 5.4 5.7"
