"species_list"	"threat_count"
"1"	"Alsodes barrioi"	"1"
"2"	"Alsodes montanus"	"5"
"3"	"Alsodes tumultuosus"	"6"
"4"	"Eupsophus queulensis"	"1"
"5"	"Alytes dickhilleni"	"5"
"6"	"Alytes muletensis"	"8"
"7"	"Allobates chalcopis"	"1"
"8"	"Allobates humilis"	"2"
"9"	"Allobates olfersioides"	"5"
"10"	"Allobates subfolionidificans"	"1"
"11"	"Allobates wayuu"	"0"
"12"	"Anomaloglossus beebei"	"1"
"13"	"Anomaloglossus breweri"	"2"
"14"	"Anomaloglossus murisipanensis"	"1"
"15"	"Mannophryne olmonae"	"4"
"16"	"Mannophryne trinitatis"	"6"
"17"	"Arthroleptis francei"	"7"
"18"	"Arthroleptis nguruensis"	"4"
"19"	"Astylosternus diadematus"	"2"
"20"	"Astylosternus rheophilus"	"5"
"21"	"Cardioglossa melanogaster"	"8"
"22"	"Leptodactylodon albiventris"	"2"
"23"	"Leptodactylodon bicolor"	"3"
"24"	"Leptodactylodon boulengeri"	"2"
"25"	"Leptodactylodon bueanus"	"3"
"26"	"Leptodactylodon polyacanthus"	"2"
"27"	"Leptodactylodon ventrimarmoratus"	"1"
"28"	"Leptopelis grandiceps"	"1"
"29"	"Leptopelis karissimbensis"	"4"
"30"	"Leptopelis palmatus"	"2"
"31"	"Leptopelis ragazzii"	"4"
"32"	"Leptopelis yaldeni"	"2"
"33"	"Atelognathus nitoi"	"2"
"34"	"Atelognathus reverberii"	"4"
"35"	"Atelognathus salai"	"0"
"36"	"Atelognathus solitarius"	"0"
"37"	"Batrachyla fitzroya"	"0"
"38"	"Barbourula busuangensis"	"4"
"39"	"Bombina lichuanensis"	"2"
"40"	"Breviceps bagginsi"	"2"
"41"	"Breviceps macrops"	"1"
"42"	"Anaxyrus exsul"	"6"
"43"	"Ansonia fuliginea"	"1"
"44"	"Ansonia mcgregori"	"3"
"45"	"Ansonia muelleri"	"3"
"46"	"Ansonia penangensis"	"0"
"47"	"Ansonia siamensis"	"1"
"48"	"Ansonia tiomanica"	"2"
"49"	"Ansonia torrentis"	"1"
"50"	"Atelopus flavescens"	"3"
"51"	"Atelopus franciscus"	"1"
"52"	"Atelopus spumarius"	"6"
"53"	"Atelopus spurrelli"	"6"
"54"	"Atelopus tricolor"	"3"
"55"	"Bufo eichwaldi"	"7"
"56"	"Capensibufo rosei"	"2"
"57"	"Duttaphrynus microtympanum"	"5"
"58"	"Duttaphrynus scorteccii"	"0"
"59"	"Ghatophryne rubigina"	"0"
"60"	"Incilius chompipe"	"0"
"61"	"Incilius cycladen"	"4"
"62"	"Incilius macrocristatus"	"6"
"63"	"Melanophryniscus dorsalis"	"3"
"64"	"Melanophryniscus macrogranulosus"	"3"
"65"	"Melanophryniscus montevidensis"	"2"
"66"	"Melanophryniscus orejasmirandai"	"2"
"67"	"Mertensophryne lonnbergi"	"3"
"68"	"Mertensophryne uzunguensis"	"4"
"69"	"Metaphryniscus sosai"	"1"
"70"	"Nannophryne corynetes"	"0"
"71"	"Oreophrynella cryptica"	"2"
"72"	"Oreophrynella huberi"	"1"
"73"	"Oreophrynella macconnelli"	"0"
"74"	"Oreophrynella nigra"	"1"
"75"	"Oreophrynella quelchii"	"1"
"76"	"Oreophrynella vasquezi"	"1"
"77"	"Osornophryne sumacoensis"	"1"
"78"	"Pelophryne guentheri"	"1"
"79"	"Pelophryne lighti"	"4"
"80"	"Pelophryne misera"	"4"
"81"	"Pelophryne rhopophilia"	"0"
"82"	"Peltophryne empusa"	"5"
"83"	"Peltophryne guentheri"	"4"
"84"	"Peltophryne gundlachi"	"4"
"85"	"Peltophryne taladai"	"6"
"86"	"Rhinella atacamensis"	"6"
"87"	"Rhinella justinianoi"	"1"
"88"	"Rhinella manu"	"1"
"89"	"Rhinella quechua"	"2"
"90"	"Rhinella rubropunctata"	"7"
"91"	"Rhinella rumbolli"	"2"
"92"	"Rhinella yanachaga"	"1"
"93"	"Sclerophrys perreti"	"0"
"94"	"Sclerophrys urunguensis"	"3"
"95"	"Wolterstorffina parvipalmata"	"1"
"96"	"Calyptocephalella gayi"	"5"
"97"	"Telmatobufo australis"	"3"
"98"	"Celsiella revocata"	"5"
"99"	"Centrolene buckleyi"	"2"
"100"	"Centrolene daidaleum"	"2"
"101"	"Centrolene geckoideum"	"9"
"102"	"Centrolene hesperium"	"3"
"103"	"Centrolene peristictum"	"8"
"104"	"Centrolene quindianum"	"3"
"105"	"Centrolene savagei"	"6"
"106"	"Chimerella mariaelenae"	"2"
"107"	"Cochranella balionota"	"7"
"108"	"Cochranella riveroi"	"0"
"109"	"Cochranella xanthocheridia"	"3"
"110"	"Espadarana durrellorum"	"2"
"111"	"Hyalinobatrachium fragile"	"4"
"112"	"Hyalinobatrachium ibama"	"5"
"113"	"Hyalinobatrachium orientale"	"2"
"114"	"Ikakogi tayrona"	"4"
"115"	"Nymphargus armatus"	"0"
"116"	"Nymphargus cochranae"	"3"
"117"	"Nymphargus garciae"	"3"
"118"	"Nymphargus griffithsi"	"9"
"119"	"Nymphargus posadae"	"3"
"120"	"Nymphargus prasinus"	"3"
"121"	"Nymphargus rosada"	"4"
"122"	"Nymphargus ruizi"	"4"
"123"	"Nymphargus siren"	"3"
"124"	"Rulyrana adiazeta"	"2"
"125"	"Rulyrana susatamai"	"3"
"126"	"Vitreorana antisthenesi"	"4"
"127"	"Alcalus tasanae"	"5"
"128"	"Cornufer akarithymus"	"1"
"129"	"Cornufer parkeri"	"0"
"130"	"Palmatorappia solomonis"	"1"
"131"	"Platymantis banahao"	"8"
"132"	"Platymantis cornutus"	"7"
"133"	"Platymantis guentheri"	"5"
"134"	"Platymantis indeprensus"	"2"
"135"	"Platymantis isarog"	"7"
"136"	"Platymantis montanus"	"0"
"137"	"Platymantis naomii"	"0"
"138"	"Platymantis pseudodorsalis"	"4"
"139"	"Platymantis pygmaeus"	"5"
"140"	"Platymantis rabori"	"3"
"141"	"Platymantis sierramadrensis"	"4"
"142"	"Ceratophrys stolzmanni"	"8"
"143"	"Ceuthomantis aracamuni"	"0"
"144"	"Conraua alleni"	"6"
"145"	"Conraua robusta"	"5"
"146"	"Craugastor alfredi"	"2"
"147"	"Craugastor aphanus"	"1"
"148"	"Craugastor bocourti"	"3"
"149"	"Craugastor brocchi"	"5"
"150"	"Craugastor decoratus"	"4"
"151"	"Craugastor matudai"	"3"
"152"	"Craugastor persimilis"	"2"
"153"	"Craugastor psephosypharus"	"2"
"154"	"Craugastor pygmaeus"	"4"
"155"	"Craugastor rhodopis"	"3"
"156"	"Craugastor rivulus"	"4"
"157"	"Craugastor tarahumaraensis"	"2"
"158"	"Craugastor xucanebi"	"3"
"159"	"Euparkerella robusta"	"4"
"160"	"Euparkerella tridactyla"	"5"
"161"	"Hypodactylus dolops"	"8"
"162"	"Lynchius flavomaculatus"	"2"
"163"	"Lynchius simmonsi"	"1"
"164"	"Phrynopus barthlenae"	"1"
"165"	"Phrynopus horstpauli"	"3"
"166"	"Pristimantis actites"	"2"
"167"	"Pristimantis affinis"	"2"
"168"	"Pristimantis bicolor"	"3"
"169"	"Pristimantis bicumulus"	"3"
"170"	"Pristimantis boconoensis"	"2"
"171"	"Pristimantis briceni"	"0"
"172"	"Pristimantis bromeliaceus"	"10"
"173"	"Pristimantis calcarulatus"	"6"
"174"	"Pristimantis ceuthospilus"	"2"
"175"	"Pristimantis colodactylus"	"6"
"176"	"Pristimantis colostichos"	"2"
"177"	"Pristimantis condor"	"8"
"178"	"Pristimantis cordovae"	"1"
"179"	"Pristimantis crucifer"	"5"
"180"	"Pristimantis cruciocularis"	"1"
"181"	"Pristimantis diaphonus"	"2"
"182"	"Pristimantis diogenes"	"1"
"183"	"Pristimantis duellmani"	"7"
"184"	"Pristimantis elegans"	"2"
"185"	"Pristimantis eremitus"	"7"
"186"	"Pristimantis eriphus"	"6"
"187"	"Pristimantis ernesti"	"0"
"188"	"Pristimantis fallax"	"5"
"189"	"Pristimantis floridus"	"4"
"190"	"Pristimantis frater"	"2"
"191"	"Pristimantis gracilis"	"4"
"192"	"Pristimantis hybotragus"	"1"
