"species_list"	"threat_code"
"1"	"Alsodes barrioi"	"2.2 2.2.2"
"2"	"Alsodes montanus"	"1.1 1.3 6.1 7.2 7.2.9 9.1 9.1.1"
"3"	"Alsodes tumultuosus"	"1.1 1.3 6.1 7.2 7.2.9 8.1 8.1.2 9.1 9.1.1"
"4"	"Eupsophus queulensis"	"2.2 2.2.1"
"5"	"Alytes dickhilleni"	"11.2 2.1 2.1.3 7.2 7.2.7 7.3 8.2"
"6"	"Alytes muletensis"	"1.1 11.2 1.2 7.2 7.2.11 7.2.8 8.1 8.1 8.1 8.1.2 8.1.2 8.1.2 8.2"
"7"	"Allobates chalcopis"	"10.1"
"8"	"Allobates humilis"	"1.1 11.2"
"9"	"Allobates olfersioides"	"1.1 1.2 2.1 2.1.2 2.1.3 5.3 5.3.5 8.1 8.1.2"
"10"	"Allobates subfolionidificans"	"1.1"
"11"	"Allobates wayuu"	""
"12"	"Anomaloglossus beebei"	"8.2"
"13"	"Anomaloglossus breweri"	"10.3 11.1"
"14"	"Anomaloglossus murisipanensis"	"7.1 7.1.3"
"15"	"Mannophryne olmonae"	"1.1 11.5 5.3 5.3.5 8.1 8.1.2"
"16"	"Mannophryne trinitatis"	"1.1 2.1 2.1.2 5.3 5.3.3 9.1 9.1.3 9.2 9.2.3 9.3 9.3.4"
"17"	"Arthroleptis francei"	"1.1 11.1 2.1 2.1.2 2.2 2.2.3 7.1 7.1.3 8.1 8.1 8.1.2 8.1.2"
"18"	"Arthroleptis nguruensis"	"11.5 2.1 2.1.2 2.2 2.2.1 5.3 5.3.1"
"19"	"Astylosternus diadematus"	"2.1 2.1.2 5.4 5.4.1 5.4.2"
"20"	"Astylosternus rheophilus"	"1.1 2.1 2.1.2 2.3 2.3.1 2.3.2 5.3 5.3.3 9.3 9.3.2"
"21"	"Cardioglossa melanogaster"	"1.1 11.1 2.1 2.1.2 2.2 2.2.3 2.3 2.3.2 5.2 5.2.2 5.3 5.3.3 9.3 9.3.3"
"22"	"Leptodactylodon albiventris"	"2.1 2.1.2 5.3 5.3.5"
"23"	"Leptodactylodon bicolor"	"2.1 2.1.2 5.1 5.1.1 5.3 5.3.5"
"24"	"Leptodactylodon boulengeri"	"2.1 2.1.2 5.3 5.3.5"
"25"	"Leptodactylodon bueanus"	"1.1 2.1 2.1.2 5.3 5.3.5"
"26"	"Leptodactylodon polyacanthus"	"2.1 2.1.2 5.3 5.3.5"
"27"	"Leptodactylodon ventrimarmoratus"	"5.3 5.3.5"
"28"	"Leptopelis grandiceps"	"2.1 2.1.2"
"29"	"Leptopelis karissimbensis"	"2.1 2.1.2 2.3 2.3.1 3.2 5.3 5.3.3"
"30"	"Leptopelis palmatus"	"1.1 2.1 2.1.2"
"31"	"Leptopelis ragazzii"	"1.1 2.1 2.1.1 2.1.2 5.3 5.3.3 8.2 8.2.2"
"32"	"Leptopelis yaldeni"	"1.1 2.1 2.1.1 2.1.2"
"33"	"Atelognathus nitoi"	"6.1 7.1 7.1.3"
"34"	"Atelognathus reverberii"	"11.2 2.3 2.3.2 7.2 7.2.1 7.2.3 8.1 8.1.2"
"35"	"Atelognathus salai"	""
"36"	"Atelognathus solitarius"	""
"37"	"Batrachyla fitzroya"	""
"38"	"Barbourula busuangensis"	"2.1 2.1.1 3.2 5.3 5.3.5 9.3 9.3.2 9.3.4"
"39"	"Bombina lichuanensis"	"1.1 2.1 2.1.2"
"40"	"Breviceps bagginsi"	"2.2 2.2.2 4.1"
"41"	"Breviceps macrops"	"3.2"
"42"	"Anaxyrus exsul"	"4.1 6.1 7.2 7.2.8 7.3 8.1 8.1.2 8.2 8.2.1"
"43"	"Ansonia fuliginea"	"5.3 5.3.5"
"44"	"Ansonia mcgregori"	"2.1 2.1.4 5.3 5.3.5 9.3 9.3.2 9.3.4"
