"species_list"	"habitat_code"
"1"	"Adelophryne maranguapensis"	"14.3 1.5 1.6"
"2"	"Adenomus kelaartii"	"1.6 1.9 5.1 5.7"
"3"	"Afrixalus clarkei"	"14.3 1.5 1.9 5.4 5.8"
"4"	"Afrixalus dorsimaculatus"	"1.6 1.9 5.4 5.8"
"5"	"Afrixalus knysnae"	"14.1 15.1 15.2 1.6 3.8 5.7 5.8"
"6"	"Afrixalus lacteus"	"14.6 1.9 5.1 5.4"
"7"	"Agalychnis annae"	"14.3 14.5 14.6 1.9 5.1"
"8"	"Aglyptodactylus australis"	"1.6"
"9"	"Allobates kingsburyi"	"1.9 5.1"
"10"	"Allobates mandelorum"	"1.9 3.7 5.1 5.8"
"11"	"Allobates ranoides"	"1.6 5.1"
"12"	"Altiphrynoides malcolmi"	"14.2 1.9 3.7"
"13"	"Ambystoma altamirani"	"14.2 1.9 5.1"
"14"	"Ambystoma flavipiperatum"	"1.5 15.2 3.5 5.7 5.8"
"15"	"Ambystoma lermaense"	"15.1 4.7 5.1 5.5"
"16"	"Ambystoma ordinarium"	"14.2 15.2 1.9 5.1"
"17"	"Ameerega silverstonei"	"1.9 5.1 5.2"
"18"	"Amietia inyangae"	"4.7 5.1"
"19"	"Amietia johnstoni"	"1.9 4.7 5.1"
"20"	"Amnirana asperrima"	"1.6 1.9 5.1"
"21"	"Amnirana occidentalis"	"1.6 5.7 5.8"
"22"	"Amolops hainanensis"	"1.6 5.1"
"23"	"Amolops hongkongensis"	"1.6 5.1"
"24"	"Anaxyrus californicus"	"3.4 5.1 5.2 8.2"
"25"	"Anaxyrus canorus"	"4.4 5.1 5.10 5.2 5.4 5.5 5.7"
"26"	"Anaxyrus houstonensis"	"1.4 14.1 14.5"
"27"	"Anaxyrus nelsoni"	"5.9"
"28"	"Andinobates bombetes"	"1.5 1.9"
"29"	"Andinobates virolinensis"	"1.9 5.1"
"30"	"Anhydrophryne ngongoniensis"	"1.9 4.7"
"31"	"Anodonthyla emilei"	"1.6 1.9"
"32"	"Anodonthyla hutchisoni"	"1.6"
"33"	"Anodonthyla jeanbai"	"1.9"
"34"	"Anodonthyla moramora"	"1.6"
"35"	"Anodonthyla nigrigularis"	"14.6 1.6"
"36"	"Anodonthyla rouxae"	"1.9"
"37"	"Ansonia guibei"	"1.9 5.1"
"38"	"Ansonia latidisca"	"1.6 5.1"
"39"	"Ansonia platysoma"	"1.6 1.9 5.1"
