"species_list"	"threat_count"
"1"	"Adelophryne maranguapensis"	"4"
"2"	"Adenomus kelaartii"	"3"
"3"	"Afrixalus clarkei"	"4"
"4"	"Afrixalus dorsimaculatus"	"4"
"5"	"Afrixalus knysnae"	"7"
"6"	"Afrixalus lacteus"	"3"
"7"	"Agalychnis annae"	"4"
"8"	"Aglyptodactylus australis"	"4"
"9"	"Allobates kingsburyi"	"5"
"10"	"Allobates mandelorum"	"3"
"11"	"Allobates ranoides"	"7"
"12"	"Altiphrynoides malcolmi"	"4"
"13"	"Ambystoma altamirani"	"9"
"14"	"Ambystoma flavipiperatum"	"5"
"15"	"Ambystoma lermaense"	"13"
"16"	"Ambystoma ordinarium"	"9"
"17"	"Ameerega silverstonei"	"3"
"18"	"Amietia inyangae"	"3"
"19"	"Amietia johnstoni"	"4"
"20"	"Amnirana asperrima"	"3"
"21"	"Amnirana occidentalis"	"3"
"22"	"Amolops hainanensis"	"6"
"23"	"Amolops hongkongensis"	"5"
"24"	"Anaxyrus californicus"	"13"
"25"	"Anaxyrus canorus"	"6"
"26"	"Anaxyrus houstonensis"	"9"
"27"	"Anaxyrus nelsoni"	"8"
"28"	"Andinobates bombetes"	"7"
"29"	"Andinobates virolinensis"	"4"
"30"	"Anhydrophryne ngongoniensis"	"6"
"31"	"Anodonthyla emilei"	"7"
"32"	"Anodonthyla hutchisoni"	"2"
"33"	"Anodonthyla jeanbai"	"2"
"34"	"Anodonthyla moramora"	"8"
"35"	"Anodonthyla nigrigularis"	"6"
"36"	"Anodonthyla rouxae"	"7"
"37"	"Ansonia guibei"	"4"
"38"	"Ansonia latidisca"	"5"
"39"	"Ansonia platysoma"	"2"
"40"	"Ansonia thinthinae"	"1"
"41"	"Argenteohyla siemersi"	"7"
"42"	"Arlequinus krebsi"	"3"
"43"	"Aromobates alboguttatus"	"4"
"44"	"Aromobates duranti"	"2"
"45"	"Aromobates haydeeae"	"3"
"46"	"Aromobates mayorgai"	"4"
"47"	"Aromobates molinarii"	"2"
"48"	"Aromobates orostoma"	"3"
"49"	"Aromobates saltuensis"	"7"
"50"	"Aromobates serranus"	"3"
"51"	"Arthroleptides martiensseni"	"5"
"52"	"Arthroleptides yakusini"	"3"
"53"	"Arthroleptis aureoli"	"3"
"54"	"Arthroleptis bioko"	"5"
"55"	"Arthroleptis fichika"	"3"
"56"	"Arthroleptis perreti"	"2"
"57"	"Arthroleptis tanneri"	"2"
"58"	"Arthroleptis xenodactylus"	"3"
"59"	"Astylosternus fallax"	"3"
"60"	"Astylosternus laurenti"	"3"
"61"	"Astylosternus perreti"	"4"
"62"	"Astylosternus ranoides"	"7"
"63"	"Astylosternus schioetzi"	"3"
"64"	"Atelognathus patagonicus"	"3"
"65"	"Atelognathus praebasalticus"	"2"
"66"	"Atelopus certus"	"4"
"67"	"Atelopus dimorphus"	"1"
"68"	"Atelopus laetissimus"	"5"
"69"	"Atelopus limosus"	"7"
"70"	"Atelopus longibrachius"	"7"
"71"	"Atelopus mittermeieri"	"4"
"72"	"Atelopus nahumae"	"5"
"73"	"Atelopus oxapampae"	"4"
"74"	"Babina holsti"	"3"
"75"	"Babina okinavana"	"2"
"76"	"Babina subaspera"	"3"
"77"	"Barbourula kalimantanensis"	"4"
"78"	"Batrachoseps campi"	"3"
"79"	"Batrachuperus londongensis"	"5"
"80"	"Bolitoglossa alvaradoi"	"2"
"81"	"Bolitoglossa celaque"	"3"
"82"	"Bolitoglossa compacta"	"3"
"83"	"Bolitoglossa conanti"	"9"
"84"	"Bolitoglossa dunni"	"5"
"85"	"Bolitoglossa engelhardti"	"4"
"86"	"Bolitoglossa flavimembris"	"5"
"87"	"Bolitoglossa flaviventris"	"5"
"88"	"Bolitoglossa franklini"	"6"
"89"	"Bolitoglossa heiroreias"	"2"
"90"	"Bolitoglossa magnifica"	"6"
"91"	"Bolitoglossa marmorea"	"3"
"92"	"Bolitoglossa meliana"	"3"
"93"	"Bolitoglossa minutula"	"3"
"94"	"Bolitoglossa nigrescens"	"4"
"95"	"Bolitoglossa pandi"	"3"
"96"	"Bolitoglossa porrasorum"	"8"
"97"	"Bolitoglossa riletti"	"4"
"98"	"Bolitoglossa salvinii"	"3"
"99"	"Bolitoglossa sooyorum"	"5"
"100"	"Bolitoglossa subpalmata"	"2"
"101"	"Bolitoglossa tica"	"2"
"102"	"Bolitoglossa veracrucis"	"4"
"103"	"Bombina pachypus"	"5"
"104"	"Boophis andrangoloaka"	"6"
"105"	"Boophis anjanaharibeensis"	"6"
"106"	"Boophis arcanus"	"3"
"107"	"Boophis boehmei"	"6"
"108"	"Boophis boppa"	"7"
"109"	"Boophis feonnyala"	"6"
"110"	"Boophis haematopus"	"6"
"111"	"Boophis haingana"	"7"
"112"	"Boophis jaegeri"	"9"
"113"	"Boophis laurenti"	"3"
"114"	"Boophis miadana"	"5"
"115"	"Boophis narinsi"	"7"
"116"	"Boophis piperatus"	"7"
"117"	"Boophis rhodoscelis"	"6"
"118"	"Boophis sambirano"	"6"
"119"	"Boophis sandrae"	"7"
"120"	"Boophis solomaso"	"5"
"121"	"Boulengerula changamwensis"	"5"
"122"	"Boulengerula niedeni"	"1"
"123"	"Boulengerula taitana"	"1"
"124"	"Bryophryne bustamantei"	"1"
"125"	"Bryophryne cophites"	"4"
"126"	"Bufoides meghalayanus"	"3"
"127"	"Callimedusa baltea"	"3"
"128"	"Callimedusa ecuatoriana"	"4"
"129"	"Callulina kisiwamsitu"	"2"
"130"	"Callulops kopsteini"	"1"
"131"	"Cardioglossa oreas"	"6"
"132"	"Cardioglossa pulchra"	"6"
"133"	"Cardioglossa schioetzi"	"3"
"134"	"Cardioglossa venusta"	"6"
"135"	"Centrolene azulae"	"4"
"136"	"Centrolene lynchi"	"9"
"137"	"Centrolene petrophilum"	"2"
"138"	"Centrolene pipilatum"	"5"
"139"	"Charadrahyla chaneque"	"1"
"140"	"Chiasmocleis lacrimae"	"5"
"141"	"Chiropterotriton chondrostega"	"3"
"142"	"Chiropterotriton cracens"	"2"
"143"	"Chiropterotriton dimidiatus"	"8"
"144"	"Chiropterotriton multidentatus"	"5"
"145"	"Chrysobatrachus cupreonitens"	"3"
"146"	"Cochranella mache"	"1"
"147"	"Colostethus mertensi"	"3"
"148"	"Colostethus ruthveni"	"6"
"149"	"Conraua goliath"	"5"
"150"	"Cophixalus mcdonaldi"	"6"
"151"	"Cophixalus monticola"	"5"
"152"	"Cophixalus neglectus"	"5"
"153"	"Cophyla alticola"	"7"
"154"	"Cophyla berara"	"2"
"155"	"Cophyla mavomavo"	"6"
"156"	"Cophyla milloti"	"9"
"157"	"Cophyla noromalalae"	"2"
"158"	"Cophyla olgae"	"6"
"159"	"Cophyla rava"	"2"
