"species_list"	"threat_code"
"1"	"Adelophryne maranguapensis"	"1.1 1.3 2.1 2.1.2 5.3 5.3.5"
"2"	"Adenomus kelaartii"	"2.1 2.1.3 5.3 5.3.5 9.3 9.3.4"
"3"	"Afrixalus clarkei"	"1.1 2.1 2.1.2 2.1.3 5.3 5.3.1 8.2 8.2.2"
"4"	"Afrixalus dorsimaculatus"	"1.1 2.1 2.1.2 3.2 5.3 5.3.5"
"5"	"Afrixalus knysnae"	"1.1 1.3 2.1 2.1.3 2.2 2.2.2 2.3 2.3.4 8.1 8.1.1 9.1 9.1.3"
"6"	"Afrixalus lacteus"	"1.1 2.1 2.1.2 5.3 5.3.5"
"7"	"Agalychnis annae"	"1.1 1.2 5.1 5.1.1 8.1 8.1.2"
"8"	"Aglyptodactylus australis"	"2.3 2.3.1 2.3.2 3.2 5.3 5.3.3 7.1 7.1.1"
"9"	"Allobates kingsburyi"	"11.1 2.1 2.1.2 2.2 2.2.1 2.3 2.3.2 2.3.3 5.3 5.3.3 5.3.4"
"10"	"Allobates mandelorum"	"2.1 2.1.2 2.3 2.3.2 4.2"
"11"	"Allobates ranoides"	"1.1 2.1 2.1.2 2.3 2.3.2 3.2 5.3 5.3.1 5.3.2 8.1 8.1.2 9.2 9.2.1"
"12"	"Altiphrynoides malcolmi"	"1.1 2.3 2.3.2 5.3 5.3.3 8.2 8.2.2"
"13"	"Ambystoma altamirani"	"1.1 1.3 3.2 5.1 5.1.1 5.3 5.3.5 6.1 8.1 8.1.1 8.1.2 9.1 9.1.3 9.3 9.3.2"
"14"	"Ambystoma flavipiperatum"	"1.1 2.1 2.1.2 4.1 8.1 8.1.1 9.3 9.3.4"
"15"	"Ambystoma lermaense"	"1.1 1.2 1.3 2.3 2.3.1 5.1 5.1.1 5.4 5.4.6 6.1 8.1 8.1 8.1.1 8.1.2 9.1 9.1.3 9.2 9.2.3 9.3 9.3.4 9.4"
"16"	"Ambystoma ordinarium"	"1.1 2.1 2.1.2 7.2 7.2.8 8.1 8.1 8.1 8.1 8.1.2 8.1.2 8.1.2 8.1.2 9.1 9.1.3 9.3 9.3.4"
"17"	"Ameerega silverstonei"	"2.1 2.1.1 2.1.2 5.1 5.1.1 5.3 5.3.5"
"18"	"Amietia inyangae"	"1.1 2.2 2.2.2 2.3 2.3.2"
"19"	"Amietia johnstoni"	"1.1 2.1 2.1.2 5.3 5.3.5 9.3 9.3.2"
"20"	"Amnirana asperrima"	"1.2 2.1 2.1.2 5.3 5.3.5"
"21"	"Amnirana occidentalis"	"1.1 2.1 2.1.2 5.3 5.3.5"
"22"	"Amolops hainanensis"	"2.1 2.1.1 2.2 2.2.2 3.3 5.1 5.1.1 5.3 5.3.5 7.2 7.2.11"
"23"	"Amolops hongkongensis"	"1.2 2.2 2.2.2 3.3 5.3 5.3.5 7.2 7.2.11"
"24"	"Anaxyrus californicus"	"1.1 11.2 1.2 1.3 2.1 2.1.4 2.3 2.3.4 3.2 4.1 6.1 7.1 7.1.1 7.2 7.2.11 8.1 8.1 8.1.1 8.1.2"
"25"	"Anaxyrus canorus"	"11.2 2.3 2.3.2 2.3.3 8.1 8.1 8.1.2 8.1.2 9.3 9.3.4 9.5 9.5.4"
"26"	"Anaxyrus houstonensis"	"1.1 11.2 1.2 2.1 2.1.4 2.2 2.2.1 2.2.2 4.1 5.3 5.3.5 8.1 8.1.2 9.3 9.3.4"
"27"	"Anaxyrus nelsoni"	"11.2 1.2 1.3 2.3 2.3.4 4.1 8.1 8.1 8.1.1 8.1.2 8.1.2 9.3 9.3.4"
"28"	"Andinobates bombetes"	"2.1 2.1.2 2.2 2.2.1 2.3 2.3.2 5.1 5.1.1 5.2 5.2.4 5.3 5.3.5 9.3 9.3.4"
"29"	"Andinobates virolinensis"	"2.1 2.1.4 2.3 2.3.4 5.1 5.1.1 5.3 5.3.5"
"30"	"Anhydrophryne ngongoniensis"	"11.1 2.2 2.2.2 2.3 2.3.4 7.1 7.1.3 8.1 8.1.1 9.3 9.3.4"
"31"	"Anodonthyla emilei"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 3.2 5.3 5.3.3 7.1 7.1.3 8.1 8.1.1"
"32"	"Anodonthyla hutchisoni"	"2.1 2.1.2 5.3 5.3.1"
"33"	"Anodonthyla jeanbai"	"2.3 2.3.2 5.3 5.3.1"
"34"	"Anodonthyla moramora"	"1.1 2.1 2.1 2.1.1 2.1.2 2.3 2.3.2 3.2 5.3 5.3.3 7.1 7.1.3 8.1 8.1.1"
"35"	"Anodonthyla nigrigularis"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.3 7.1 7.1.1 8.1 8.1.2"
"36"	"Anodonthyla rouxae"	"1.1 11.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 7.1 7.1.3 8.1 8.1.2"
"37"	"Ansonia guibei"	"1.3 5.3 5.3.5 6.1 9.3 9.3.2"
"38"	"Ansonia latidisca"	"1.3 2.1 2.1.2 5.3 5.3.5 6.1 9.3 9.3.2"
"39"	"Ansonia platysoma"	"5.3 5.3.5 9.3 9.3.2"
"40"	"Ansonia thinthinae"	"5.3 5.3.4"
"41"	"Argenteohyla siemersi"	"11.4 2.1 2.1.3 2.2 2.2.2 2.3 2.3.4 4.3 7.1 7.1.3 7.2 7.2.3"
"42"	"Arlequinus krebsi"	"1.1 2.1 2.1.2 5.3 5.3.5"
